s,m3/s,m3/s,m,C
Time,"flow_volume_supply","flow_volume_exhaust","eye_level_visibility","air_temperature"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.0000000E+001
 1.0212040E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.0110213E+001
 2.0029567E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.0762041E+001
 3.0026001E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.1707665E+001
 4.0003570E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.2637906E+001
 5.0032504E+000, 0.0000000E+000, 0.0000000E+000, 2.9962397E+001, 2.5493635E+001
 6.0134495E+000, 0.0000000E+000, 0.0000000E+000, 2.1069075E+001, 3.6841165E+001
 7.0080851E+000, 0.0000000E+000, 0.0000000E+000, 2.8127286E+001, 3.4346700E+001
 8.0127901E+000, 0.0000000E+000, 0.0000000E+000, 2.0833039E+001, 3.9928727E+001
 9.0039087E+000, 0.0000000E+000, 0.0000000E+000, 1.3965327E+001, 4.5802506E+001
 1.0012960E+001, 0.0000000E+000, 0.0000000E+000, 1.2235786E+001, 4.8336152E+001
 1.1001564E+001, 0.0000000E+000, 0.0000000E+000, 1.0591431E+001, 5.1641767E+001
 1.2000321E+001, 0.0000000E+000, 0.0000000E+000, 1.1165399E+001, 5.0592501E+001
 1.3001905E+001, 0.0000000E+000, 0.0000000E+000, 7.8354068E+000, 6.4750459E+001
 1.4009328E+001, 0.0000000E+000, 0.0000000E+000, 8.1541712E+000, 6.0646016E+001
 1.5012784E+001, 0.0000000E+000, 0.0000000E+000, 6.4185981E+000, 6.9223508E+001
 1.6008524E+001, 0.0000000E+000, 0.0000000E+000, 5.7435257E+000, 7.5335832E+001
 1.7012847E+001, 0.0000000E+000, 0.0000000E+000, 5.0912443E+000, 8.2222342E+001
 1.8010677E+001, 0.0000000E+000, 0.0000000E+000, 4.7392799E+000, 8.4808585E+001
 1.9009420E+001, 0.0000000E+000, 0.0000000E+000, 6.8606961E+000, 6.7511199E+001
 2.0002993E+001, 0.0000000E+000, 0.0000000E+000, 5.3703689E+000, 8.1685920E+001
 2.1000176E+001, 6.4033229E-001, 6.4033229E-001, 4.4620247E+000, 8.7261713E+001
 2.2010337E+001, 1.3345896E+000, 1.3345896E+000, 4.4657299E+000, 8.6885696E+001
 2.3005441E+001, 1.4764017E+000, 1.4764017E+000, 4.1662281E+000, 9.0312414E+001
 2.4000438E+001, 1.4967461E+000, 1.4967461E+000, 4.0049701E+000, 9.2891434E+001
 2.5007042E+001, 1.4995587E+000, 1.4995587E+000, 4.2097527E+000, 8.7471959E+001
 2.6010330E+001, 1.4999409E+000, 1.4999409E+000, 3.8678336E+000, 9.2840086E+001
 2.7013618E+001, 1.4999921E+000, 1.4999921E+000, 3.6396468E+000, 9.6439770E+001
 2.8002339E+001, 1.4999989E+000, 1.4999989E+000, 3.7353977E+000, 9.2859550E+001
 2.9017208E+001, 1.4999999E+000, 1.4999999E+000, 4.4485255E+000, 8.2718118E+001
 3.0010901E+001, 1.5000000E+000, 1.5000000E+000, 5.1200918E+000, 7.7523970E+001
 3.1015331E+001, 1.5000000E+000, 1.5000000E+000, 5.4189592E+000, 7.5730475E+001
 3.2003561E+001, 1.5000000E+000, 1.5000000E+000, 5.0116077E+000, 7.8234949E+001
 3.3007991E+001, 1.5000000E+000, 1.5000000E+000, 4.7391479E+000, 7.8312913E+001
 3.4004321E+001, 1.5000000E+000, 1.5000000E+000, 5.9762725E+000, 6.9401682E+001
 3.5002271E+001, 1.5000000E+000, 1.5000000E+000, 8.1047825E+000, 6.1416947E+001
 3.6006007E+001, 1.5000000E+000, 1.5000000E+000, 7.0931715E+000, 6.4427891E+001
 3.7011142E+001, 1.5000000E+000, 1.5000000E+000, 6.2216267E+000, 6.7442174E+001
 3.8016781E+001, 1.5000000E+000, 1.5000000E+000, 8.5002480E+000, 6.0452481E+001
 3.9006447E+001, 1.5000000E+000, 1.5000000E+000, 1.1692702E+001, 5.0772790E+001
 4.0013177E+001, 1.5000000E+000, 1.5000000E+000, 9.3101808E+000, 5.6569859E+001
 4.1002844E+001, 1.5000000E+000, 1.5000000E+000, 8.2232205E+000, 6.0000268E+001
 4.2009574E+001, 1.5000000E+000, 1.5000000E+000, 1.2505393E+001, 5.3270022E+001
 4.3016304E+001, 1.5000000E+000, 1.5000000E+000, 1.6109021E+001, 5.2081047E+001
 4.4005971E+001, 1.5000000E+000, 1.5000000E+000, 2.1991331E+001, 4.8825919E+001
 4.5012701E+001, 1.5000000E+000, 1.5000000E+000, 2.5606080E+001, 4.8357928E+001
 4.6002367E+001, 1.5000000E+000, 1.5000000E+000, 2.1929460E+001, 5.2113662E+001
 4.7009097E+001, 1.5000000E+000, 1.5000000E+000, 1.2511947E+001, 5.7508628E+001
 4.8015827E+001, 1.5000000E+000, 1.5000000E+000, 1.8375149E+001, 5.2098290E+001
 4.9005494E+001, 1.5000000E+000, 1.5000000E+000, 2.8182937E+001, 4.6630742E+001
 5.0016686E+001, 1.5000000E+000, 1.5000000E+000, 3.0000000E+001, 4.6493942E+001
 5.1012533E+001, 1.5000000E+000, 1.5000000E+000, 3.0000000E+001, 4.8424970E+001
 5.2008381E+001, 1.5000000E+000, 1.5000000E+000, 2.9960616E+001, 5.0396575E+001
 5.3004228E+001, 1.5000000E+000, 1.5000000E+000, 2.6450727E+001, 5.1862979E+001
 5.4000075E+001, 1.5000000E+000, 1.5000000E+000, 2.5851248E+001, 5.0893850E+001
 5.5012802E+001, 1.5000000E+000, 1.5000000E+000, 2.9791644E+001, 4.4588573E+001
 5.6008649E+001, 1.5000000E+000, 1.5000000E+000, 2.5344012E+001, 4.2036402E+001
 5.7004496E+001, 1.5000000E+000, 1.5000000E+000, 1.4293816E+001, 4.5408941E+001
 5.8000344E+001, 1.5000000E+000, 1.5000000E+000, 1.5334964E+001, 4.1698817E+001
 5.9013070E+001, 1.5000000E+000, 1.5000000E+000, 6.4920145E+000, 5.9682937E+001
 6.0000000E+001, 1.5000000E+000, 1.5000000E+000, 7.3048524E+000, 5.4138427E+001
